,Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Assay Type,Assay Description,Assay Organism,Assay Variant Mutation,Target Name,Target Organism,Document Journal,pChEMBL,Canonical_Smiles
14527,CHEMBL4167092,COc1cc(OCCOc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)ccc1C(=O)/C=C/c1ccccc1,IC50,'=',0.5,nM,9.3,,F,Antiproliferative activity against human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,ACS Med Chem Lett,9.301029995663981,COc1cc(OCCOc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)ccc1C(=O)/C=C/c1ccccc1
8452,CHEMBL2324628,COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(-c4ccc(NC(=O)CCCOc5cc6c(cc5OC)C(=O)N5CCC[C@H]5C=N6)cc4)cn3C)cn2C)cn1C,IC50,'=',0.59,nM,9.23,,F,Cytotoxicity against human MDA-MB-231 cells after 96 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,9.229147988357855,COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(-c4ccc(NC(=O)CCCOc5cc6c(cc5OC)C(=O)N5CCC[C@H]5C=N6)cc4)cn3C)cn2C)cn1C
5277,CHEMBL552149,CC(=O)OC[C@@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(C)C,IC50,'=',0.66,nM,9.18,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,9.18045606445813,CC(=O)OC[C@@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(C)C
3087,CHEMBL4447541,CCOc1ccc(-c2n[nH]cc2-c2cc(OC)c(OC)c(OC)c2)cc1,IC50,'=',0.7,nM,9.15,,F,Antiproliferative activity against human MDA-MB-231 cells assessed as inhibition of cell proliferation incubated for 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,9.154901959985743,CCOc1ccc(-c2n[nH]cc2-c2cc(OC)c(OC)c(OC)c2)cc1
14506,CHEMBL4163642,Cc1c(Cc2ccc(F)cc2)c(=O)oc2cc(OCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)ccc12,IC50,'=',0.8,nM,9.1,,F,Antiproliferative activity against human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,ACS Med Chem Lett,9.096910013008056,Cc1c(Cc2ccc(F)cc2)c(=O)oc2cc(OCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)ccc12
10815,CHEMBL1210547,O=C(CN1CCN(c2nnc(Cc3ccncc3)c3ccccc23)CC1)Nc1ccc(F)c(F)c1,IC50,'=',0.84,nM,9.08,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,9.075720713938118,O=C(CN1CCN(c2nnc(Cc3ccncc3)c3ccccc23)CC1)Nc1ccc(F)c(F)c1
6102,CHEMBL4440494,COc1ccc(-c2n[nH]cc2-c2cc(OC)c(OC)c(OC)c2)cc1,IC50,'=',0.9,nM,9.05,,F,Antiproliferative activity against human MDA-MB-231 cells assessed as inhibition of cell proliferation incubated for 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,9.045757490560675,COc1ccc(-c2n[nH]cc2-c2cc(OC)c(OC)c(OC)c2)cc1
7063,CHEMBL4789173,COc1ccc([C@H]2[C@H](CF)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1O,IC50,'=',1.0,nM,9.0,,F,Antiproliferative activity against human MDA-MB-231 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,9.0,COc1ccc([C@H]2[C@H](CF)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1O
6036,CHEMBL428647,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,IC50,'=',1.0,nM,9.0,,F,Cytotoxicity against human MDA-MB-231 after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Nat Prod,9.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
5813,CHEMBL3427384,COC(=O)c1oc2c(O)c(OC)ccc2c1C(=O)c1cc(OC)c(OC)c(OC)c1,IC50,'=',1.0,nM,9.0,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,9.0,COC(=O)c1oc2c(O)c(OC)ccc2c1C(=O)c1cc(OC)c(OC)c(OC)c1
3027,CHEMBL3545252,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,IC50,'=',1.0,nM,9.0,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,9.0,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O
12571,CHEMBL241232,Oc1ccc(-c2ccc(-c3cc(Nc4ccc(CNC5CC5)cc4)n[nH]3)cc2)c(O)c1,IC50,'=',1.0,nM,9.0,,F,Antiproliferative activity against human MDA-MB-231 cells by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,9.0,Oc1ccc(-c2ccc(-c3cc(Nc4ccc(CNC5CC5)cc4)n[nH]3)cc2)c(O)c1
5280,CHEMBL1164309,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](COC(=O)c1ccccc1)Cc1ccccc1)OCC1c2ccccc2-c2ccccc21,IC50,'=',1.02,nM,8.99,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.991399828238082,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](COC(=O)c1ccccc1)Cc1ccccc1)OCC1c2ccccc2-c2ccccc21
4246,CHEMBL4159175,CNS(=O)(=O)Nc1cccc(Cc2c(C)c3ccc(OCCOc4no[n+]([O-])c4S(=O)(=O)c4ccccc4)cc3oc2=O)c1,IC50,'=',1.1,nM,8.96,,F,Antiproliferative activity against human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,ACS Med Chem Lett,8.958607314841775,CNS(=O)(=O)Nc1cccc(Cc2c(C)c3ccc(OCCOc4no[n+]([O-])c4S(=O)(=O)c4ccccc4)cc3oc2=O)c1
1139,CHEMBL3785551,CSCCc1nc(-c2cc(N)ccc2Cl)oc1C,IC50,'=',1.2,nM,8.92,,F,Antiproliferative activity against human MDA-MB-231 cells assessed as reduction in cell viability after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,8.920818753952375,CSCCc1nc(-c2cc(N)ccc2Cl)oc1C
12477,CHEMBL4278782,CC12CCC(OC(=O)CCC(=O)OCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)CC1=CCC1C2CCC2(C)c3c(cnn3-c3ccccc3)CC12,IC50,'=',1.4,nM,8.85,,F,Antiproliferative activity against human MDA-MB-231 cells incubated for 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.853871964321762,CC12CCC(OC(=O)CCC(=O)OCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)CC1=CCC1C2CCC2(C)c3c(cnn3-c3ccccc3)CC12
15254,CHEMBL3770067,C[C@]12CC[C@H](OC(=O)CCC(=O)OCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)c3c(cnn3-c3ccccc3)C[C@@H]12,IC50,'=',1.4,nM,8.85,,F,Antiproliferative activity against human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.853871964321762,C[C@]12CC[C@H](OC(=O)CCC(=O)OCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)c3c(cnn3-c3ccccc3)C[C@@H]12
14513,CHEMBL4166766,COc1cc(OCCOc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)ccc1C(=O)/C=C/c1ccc(F)cc1,IC50,'=',1.4,nM,8.85,,F,Antiproliferative activity against human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,ACS Med Chem Lett,8.853871964321762,COc1cc(OCCOc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)ccc1C(=O)/C=C/c1ccc(F)cc1
373,CHEMBL1173445,CCCCCCCC(=O)SCC/C=C/[C@@H]1CC(=O)NCc2nc(cs2)C2=N[C@@](C)(CS2)C(=O)N[C@@H](C(C)C)C(=O)O1,IC50,'=',1.6,nM,8.8,,F,Cytotoxicity against human MDA-MB-231 cells assessed as reduction in cell viability after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Bioorg Med Chem,8.795880017344075,CCCCCCCC(=O)SCC/C=C/[C@@H]1CC(=O)NCc2nc(cs2)C2=N[C@@](C)(CS2)C(=O)N[C@@H](C(C)C)C(=O)O1
3047,CHEMBL1210729,O=C(CN1CCN(c2nnc(Cc3ccncc3)c3ccccc23)CC1)Nc1cccc(Br)c1,IC50,'=',1.7,nM,8.77,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.769551078621726,O=C(CN1CCN(c2nnc(Cc3ccncc3)c3ccccc23)CC1)Nc1cccc(Br)c1
1934,CHEMBL1210605,O=C(CN1CCN(c2nnc(Cc3ccncc3)c3ccccc23)CC1)Nc1ccc(F)c(C(F)(F)F)c1,IC50,'=',1.9,nM,8.72,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.721246399047171,O=C(CN1CCN(c2nnc(Cc3ccncc3)c3ccccc23)CC1)Nc1ccc(F)c(C(F)(F)F)c1
4774,CHEMBL541177,CC(=O)OC[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OCC1c2ccccc2-c2ccccc21,IC50,'=',1.95,nM,8.71,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.709965388637482,CC(=O)OC[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OCC1c2ccccc2-c2ccccc21
12660,CHEMBL67,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,IC50,'=',2.0,nM,8.7,,F,Antiproliferative activity against human MDA-MB-231 cells by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Bioorg Med Chem,8.698970004336019,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
17464,CHEMBL4878408,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C(=O)NO)C(C)C,IC50,'=',2.02,nM,8.7,,F,Antiproliferative activity against human MDA-MB-231 cells incubated for 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,8.694648630553376,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C(=O)NO)C(C)C
3262,CHEMBL2324624,COC(=O)c1cc(-c2ccc(NC(=O)CCCOc3cc4c(cc3OC)C(=O)N3CCC[C@H]3C=N4)cc2)cn1C,IC50,'=',2.11,nM,8.68,,F,Cytotoxicity against human MDA-MB-231 cells after 96 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,8.675717544702307,COC(=O)c1cc(-c2ccc(NC(=O)CCCOc3cc4c(cc3OC)C(=O)N3CCC[C@H]3C=N4)cc2)cn1C
8173,CHEMBL4089545,C=C(c1ccc(OC)c(O)c1)c1cc(OC)c(OC)c([Se]C)c1,IC50,'=',2.2,nM,8.66,,F,Antiproliferative activity against human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,8.657577319177793,C=C(c1ccc(OC)c(O)c1)c1cc(OC)c(OC)c([Se]C)c1
1884,CHEMBL503868,CSC1SC[C@H]2C(=O)N(C)[C@@H](C(C)C)C(=O)OC[C@@H](NC(=O)c3cnc4ccccc4n3)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C(=O)N(C)[C@@H](C(C)C)C(=O)OC[C@@H](NC(=O)c1cnc3ccccc3n1)C(=O)N[C@@H](C)C(=O)N2C,IC50,'=',2.3,nM,8.64,,F,Cytotoxicity against human MDA-MB-231 cells assessed as reduction in cell viability incubated for 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,8.638272163982407,CSC1SC[C@H]2C(=O)N(C)[C@@H](C(C)C)C(=O)OC[C@@H](NC(=O)c3cnc4ccccc4n3)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C(=O)N(C)[C@@H](C(C)C)C(=O)OC[C@@H](NC(=O)c1cnc3ccccc3n1)C(=O)N[C@@H](C)C(=O)N2C
7983,CHEMBL1164311,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](COC(=O)c1ccccc1)Cc1ccccc1)OCC1c2ccccc2-c2ccccc21,IC50,'=',2.42,nM,8.62,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.616184634019568,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](COC(=O)c1ccccc1)Cc1ccccc1)OCC1c2ccccc2-c2ccccc21
7985,CHEMBL4526719,COc1cc(-c2n[nH]cc2-c2cc3ccccc3s2)cc(OC)c1OC,IC50,'=',2.5,nM,8.6,,F,Antiproliferative activity against human MDA-MB-231 cells assessed as inhibition of cell proliferation incubated for 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.602059991327963,COc1cc(-c2n[nH]cc2-c2cc3ccccc3s2)cc(OC)c1OC
5739,CHEMBL3233473,CCO[Si](OCC)(OCC)O[C@@H](C(=O)C[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)[C@@H](NC(=O)OC(C)(C)C)c1ccccc1,IC50,'=',2.5,nM,8.6,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,8.602059991327963,CCO[Si](OCC)(OCC)O[C@@H](C(=O)C[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)[C@@H](NC(=O)OC(C)(C)C)c1ccccc1
7980,CHEMBL1165737,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CO)Cc1ccccc1)OCC1c2ccccc2-c2ccccc21,IC50,'=',2.59,nM,8.59,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.586700235918748,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CO)Cc1ccccc1)OCC1c2ccccc2-c2ccccc21
6407,CHEMBL2324626,COC(=O)c1cc(NC(=O)c2cc(-c3ccc(NC(=O)CCCOc4cc5c(cc4OC)C(=O)N4CCC[C@H]4C=N5)cc3)cn2C)cn1C,IC50,'=',2.7,nM,8.57,,F,Cytotoxicity against human MDA-MB-231 cells after 96 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,8.568636235841012,COC(=O)c1cc(NC(=O)c2cc(-c3ccc(NC(=O)CCCOc4cc5c(cc4OC)C(=O)N4CCC[C@H]4C=N5)cc3)cn2C)cn1C
14497,CHEMBL4285846,COc1ccc([C@H]2[C@H](C)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1O,IC50,'=',3.0,nM,8.52,,F,Antiproliferative activity against human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.522878745280337,COc1ccc([C@H]2[C@H](C)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1O
5276,CHEMBL541178,CC(=O)OC[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OCC1c2ccccc2-c2ccccc21,IC50,'=',3.14,nM,8.5,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.503070351926786,CC(=O)OC[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OCC1c2ccccc2-c2ccccc21
10255,CHEMBL4161499,COc1ccc(N(C)c2cc(C)nc3ccccc23)cc1N,IC50,'=',3.2,nM,8.49,,F,Antiproliferative activity against human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.494850021680094,COc1ccc(N(C)c2cc(C)nc3ccccc23)cc1N
11488,CHEMBL4577646,CC(C)[C@H]1C(=O)OC[C@@H](NC(=O)c2cnc3ccccc3n2)C(=O)N[C@@H](C)C(=O)N(C)[C@H]2C/C=C\C[C@@H](C(=O)N1C)N(C)C(=O)[C@H](C)NC(=O)[C@H](NC(=O)c1cnc3ccccc3n1)COC(=O)[C@H](C(C)C)N(C)C2=O,IC50,'=',3.2,nM,8.49,,F,Cytotoxicity against human MDA-MB-231 cells assessed as reduction in cell viability incubated for 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,8.494850021680094,CC(C)[C@H]1C(=O)OC[C@@H](NC(=O)c2cnc3ccccc3n2)C(=O)N[C@@H](C)C(=O)N(C)[C@H]2C/C=C\C[C@@H](C(=O)N1C)N(C)C(=O)[C@H](C)NC(=O)[C@H](NC(=O)c1cnc3ccccc3n1)COC(=O)[C@H](C(C)C)N(C)C2=O
8474,CHEMBL1210607,O=C(CN1CCN(c2nnc(Cc3ccncc3)c3ccccc23)CC1)Nc1cc(C(F)(F)F)ccc1Cl,IC50,'=',3.7,nM,8.43,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.431798275933005,O=C(CN1CCN(c2nnc(Cc3ccncc3)c3ccccc23)CC1)Nc1cc(C(F)(F)F)ccc1Cl
9150,CHEMBL4166713,COc1ccc(N(C)c2cc(C)nc3ccccc23)cc1NC(=O)CCCCl,IC50,'=',3.9,nM,8.41,,F,Antiproliferative activity against human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.4089353929735,COc1ccc(N(C)c2cc(C)nc3ccccc23)cc1NC(=O)CCCCl
9391,CHEMBL1210548,O=C(CN1CCN(c2nnc(Cc3ccncc3)c3ccccc23)CC1)Nc1ccc(F)c(Cl)c1,IC50,'=',4.0,nM,8.4,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,8.397940008672037,O=C(CN1CCN(c2nnc(Cc3ccncc3)c3ccccc23)CC1)Nc1ccc(F)c(Cl)c1
5361,CHEMBL4096662,C[Se]c1ccc(N(C)c2nc(C)nc3ccccc23)cc1,IC50,'=',4.0,nM,8.4,,F,Growth inhibition of human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,8.397940008672037,C[Se]c1ccc(N(C)c2nc(C)nc3ccccc23)cc1
